Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-20,05:30,41.5,26.4,54.7,0.0,NW@7.4,11.7,0.0,0,43.1,41.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,05:45,41.3,26.3,55.0,0.0,NW@6.4,9.2,0.0,0,43.0,40.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,06:00,41.0,26.0,54.8,0.0,NW@6.4,9.6,0.0,0,43.0,40.7,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,06:15,41.1,25.9,54.4,0.0,N@8.1,14.6,0.0,0,43.0,40.7,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,06:30,41.2,25.8,54.0,0.0,N@10.3,14.2,0.0,0,43.0,40.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,06:45,40.6,25.9,55.5,0.0,N@8.8,12.8,0.0,0,42.9,40.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,07:00,40.4,25.9,56.1,0.0,N@8.4,14.6,0.0,1,42.9,40.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,07:15,39.9,26.1,57.6,0.0,N@8.9,13.9,0.0,5,42.8,39.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,07:30,40.3,25.9,56.1,0.0,N@10.7,15.3,0.0,21,42.8,40.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,07:45,40.9,26.0,55.0,0.0,N@12.1,19.2,0.0,52,42.8,40.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,08:00,40.5,26.4,57.0,0.0,N@9.1,12.8,0.0,82,42.7,40.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,08:15,40.8,26.6,56.5,0.0,N@9.0,12.4,0.0,112,42.7,40.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
